isin,trade_date,settlement_date,counterparty,region,instrument_type,currency,notional_value,coupon_rate,yield_spread,settlement_method,trade_channel,previous_settlement_fails,counterparty_risk_score,ssi_valid,time_to_settle_days,settlement_status,fail_reason,trade_month,high_notional_flag,interest_to_yield_ratio
GB1ZNHVRCL14,2025-10-14,2025-10-17,Citibank,APAC,Sovereign Bond,JPY,838051.37,7.41,2.34,DVP,FIX API,0,0.2,1,3,0,None,10,0,3.15
DEO8L629IDM1,2025-09-15,2025-09-16,Deutsche Bank,EMEA,Municipal Bond,JPY,7097887.7,5.6,2.34,FOP,Voice,0,0.07,1,1,0,None,9,1,2.38
JP0J7R0TEV64,2025-09-25,2025-09-28,BNP Paribas,APAC,Corporate Bond,EUR,8644723.92,4.86,1.06,FOP,FIX API,0,0.06,0,3,0,None,9,1,4.54
GBILRE6PQUZ3,2025-10-22,2025-10-23,Barclays UK,EMEA,Agency Bond,USD,7323101.17,4.96,2.67,DVP,Chat,0,0.47,1,1,0,None,10,1,1.85
IN9R62GGRZ94,2025-10-16,2025-10-17,Barclays UK,EMEA,Agency Bond,JPY,7631771.98,4.43,2.34,FOP,RFQ,0,0.49,0,1,0,None,10,1,1.89
FROGX5APMOV4,2025-09-27,2025-09-28,HSBC,APAC,Agency Bond,JPY,351649.35,1.26,0.19,FOP,Voice,0,0.64,0,1,0,None,9,0,6.3
JPES1V0MMND9,2025-10-19,2025-10-21,HSBC,AMER,Sovereign Bond,EUR,9084908.09,2.25,1.29,DVP,Chat,0,0.76,1,2,0,None,10,1,1.73
GB3GT0CJ9ZT6,2025-11-01,2025-11-04,Citibank,EMEA,Municipal Bond,GBP,2968539.38,1.63,2.8,FOP,Chat,1,0.81,0,3,0,None,11,0,0.58
IN2IEXXQYYZ9,2025-09-14,2025-09-16,BNP Paribas,EMEA,Municipal Bond,GBP,1947043.58,6.75,1.66,DVP,FIX API,1,0.81,0,2,0,None,9,0,4.04
DENTISF9EU89,2025-11-01,2025-11-04,Barclays UK,AMER,Sovereign Bond,GBP,2356558.11,3.49,2.47,FOP,Voice,0,0.86,0,3,0,None,11,0,1.41
GB0LNPS9OJX4,2025-10-25,2025-10-27,JP Morgan,EMEA,Municipal Bond,JPY,4232368.93,2.05,0.45,FOP,Voice,1,0.34,1,2,0,None,10,0,4.46
JPGLYVB7V613,2025-10-04,2025-10-06,Citibank,APAC,Sovereign Bond,GBP,7059887.69,3.05,2.92,FOP,RFQ,0,0.96,0,2,0,None,10,1,1.04
DEU694HV2CH1,2025-09-23,2025-09-26,Deutsche Bank,AMER,Corporate Bond,EUR,3078695.27,2.49,0.21,DVP,RFQ,0,0.61,1,3,0,None,9,0,11.32
JPNJXRNRZ470,2025-11-10,2025-11-13,JP Morgan,EMEA,Sovereign Bond,GBP,2858600.0,6.86,0.79,FOP,RFQ,0,0.14,1,3,1,Missing Cash,11,0,8.57
DEWQ67YIDMZ1,2025-10-04,2025-10-05,Deutsche Bank,EMEA,Sovereign Bond,GBP,2496347.19,5.2,2.31,FOP,Chat,1,0.24,0,1,0,None,10,0,2.24
IN8JB5AZ8AG6,2025-09-19,2025-09-20,Barclays UK,EMEA,Corporate Bond,USD,6371944.14,4.25,0.36,FOP,RFQ,0,0.84,1,1,0,None,9,1,11.49
US5TS2XKJT46,2025-09-19,2025-09-22,Citibank,AMER,Sovereign Bond,EUR,503673.9,4.64,2.06,FOP,Voice,0,0.02,1,3,0,None,9,0,2.24
DEP0HLDVVLM6,2025-11-03,2025-11-04,Barclays UK,AMER,Sovereign Bond,EUR,6487210.63,1.72,2.1,FOP,Chat,1,0.39,1,1,0,None,11,1,0.82
JP7O6OLUJ343,2025-10-20,2025-10-22,HSBC,EMEA,Sovereign Bond,JPY,1223387.86,6.97,2.64,FOP,Chat,1,0.26,0,2,0,None,10,0,2.63
USVV4UBNXW40,2025-11-01,2025-11-02,BNP Paribas,APAC,Agency Bond,JPY,5343540.73,2.19,0.37,FOP,Voice,1,0.9,0,1,0,None,11,1,5.76
INK7BFRAQX61,2025-10-27,2025-10-28,Deutsche Bank,AMER,Agency Bond,JPY,3557174.79,5.58,2.7,DVP,Voice,1,0.89,1,1,0,None,10,0,2.06
FRK98OAISFB6,2025-10-16,2025-10-17,Barclays UK,APAC,Agency Bond,USD,1700124.27,6.79,1.86,FOP,Voice,0,0.01,0,1,0,None,10,0,3.63
GBJVRK9X23C4,2025-11-11,2025-11-13,Citibank,AMER,Agency Bond,USD,150109.68,1.63,1.69,DVP,RFQ,1,0.69,0,2,0,None,11,0,0.96
DEF5EKGYAPQ4,2025-10-06,2025-10-09,Barclays UK,APAC,Agency Bond,EUR,2448765.97,2.78,2.26,FOP,Chat,1,0.65,1,3,0,None,10,0,1.22
GB1VNR1UK042,2025-10-17,2025-10-19,Barclays UK,EMEA,Corporate Bond,GBP,1027380.2,3.07,0.87,FOP,Chat,1,0.24,0,2,0,None,10,0,3.49
JPZWQUL52H47,2025-11-02,2025-11-05,Barclays UK,AMER,Municipal Bond,GBP,6348272.4,6.06,1.56,DVP,RFQ,0,0.58,0,3,0,None,11,1,3.86
DEB50OAVBRG3,2025-10-21,2025-10-23,JP Morgan,APAC,Agency Bond,GBP,7252275.94,2.47,0.17,DVP,RFQ,0,0.65,0,2,0,None,10,1,13.72
IN4R61RVYVM1,2025-11-04,2025-11-05,BNP Paribas,AMER,Corporate Bond,USD,9543892.91,6.9,1.17,FOP,RFQ,1,0.02,0,1,1,Missing Cash,11,1,5.85
IND7FQ93MW63,2025-10-18,2025-10-20,Barclays UK,AMER,Municipal Bond,EUR,9639837.77,6.47,0.95,FOP,Voice,1,0.39,0,2,0,None,10,1,6.74
INBEIT0IDS76,2025-10-26,2025-10-29,HSBC,EMEA,Agency Bond,GBP,5612332.5,7.05,2.12,DVP,Chat,0,0.57,0,3,0,None,10,1,3.31
DEOJA3LG2XO6,2025-09-16,2025-09-19,JP Morgan,AMER,Corporate Bond,USD,9901533.12,1.48,1.6,FOP,FIX API,1,0.88,0,3,0,None,9,1,0.92
GBBR6GDUGP70,2025-09-27,2025-09-28,BNP Paribas,AMER,Agency Bond,JPY,3658962.4,2.56,2.45,FOP,RFQ,2,0.81,0,1,0,None,9,0,1.04
DEGU09EOGUT1,2025-10-01,2025-10-03,BNP Paribas,APAC,Municipal Bond,GBP,8003122.27,5.05,2.14,DVP,Chat,1,0.8,0,2,0,None,10,1,2.35
DE3RIEZ56NL3,2025-09-18,2025-09-19,Deutsche Bank,APAC,Agency Bond,EUR,1030421.2,4.55,0.2,FOP,Chat,0,0.47,0,1,0,None,9,0,21.67
INXKMBLHREO7,2025-09-27,2025-09-29,JP Morgan,APAC,Municipal Bond,JPY,5949249.28,0.71,0.21,FOP,Voice,0,0.82,1,2,0,None,9,1,3.23
FRG7Y1BXB5U8,2025-09-20,2025-09-23,Citibank,AMER,Municipal Bond,EUR,5270208.27,5.89,0.73,DVP,Chat,0,0.62,0,3,0,None,9,1,7.96
DE65OLBMR7X6,2025-09-30,2025-10-03,JP Morgan,AMER,Municipal Bond,GBP,5360410.85,4.28,1.95,DVP,Voice,1,0.73,0,3,0,None,9,1,2.18
DECT2343W9E7,2025-10-22,2025-10-24,Barclays UK,APAC,Agency Bond,JPY,7972343.33,2.4,1.37,FOP,RFQ,0,0.08,0,2,1,Counterparty Mismatch,10,1,1.74
JPTJ3Q5S5DN0,2025-10-05,2025-10-06,JP Morgan,AMER,Corporate Bond,JPY,8376203.19,5.37,1.29,DVP,RFQ,0,0.17,0,1,0,None,10,1,4.13
JPK4424XQRR4,2025-10-06,2025-10-08,Citibank,EMEA,Sovereign Bond,JPY,5537343.98,5.5,2.01,FOP,Chat,2,0.28,1,2,0,None,10,1,2.72
JPGN6P9D5DZ9,2025-09-26,2025-09-29,JP Morgan,AMER,Agency Bond,JPY,4254040.62,2.23,1.13,FOP,Chat,0,0.76,1,3,0,None,9,0,1.96
INQHWLGPX625,2025-09-30,2025-10-01,JP Morgan,APAC,Agency Bond,JPY,555426.16,0.79,2.58,FOP,RFQ,0,0.7,1,1,0,None,9,0,0.31
GBJA498QQXB6,2025-11-09,2025-11-12,Barclays UK,EMEA,Corporate Bond,GBP,4966997.16,3.81,0.6,DVP,RFQ,0,0.43,1,3,0,None,11,0,6.25
IN22DPXU6Z92,2025-10-22,2025-10-23,JP Morgan,EMEA,Sovereign Bond,USD,6387427.14,0.82,1.19,FOP,FIX API,0,0.63,1,1,0,None,10,1,0.68
JP3ERTF6QU99,2025-10-20,2025-10-23,BNP Paribas,EMEA,Municipal Bond,EUR,6621066.95,1.64,0.3,FOP,Voice,0,0.64,0,3,0,None,10,1,5.29
INCZ6QWG8EW7,2025-09-24,2025-09-27,BNP Paribas,EMEA,Agency Bond,JPY,9408279.39,4.53,1.23,DVP,RFQ,0,0.64,0,3,0,None,9,1,3.65
JP6F2K2XZSV6,2025-10-27,2025-10-28,HSBC,APAC,Corporate Bond,JPY,9420501.61,3.2,2.89,FOP,FIX API,0,0.91,0,1,0,None,10,1,1.1
GBLDE0WUEH89,2025-09-23,2025-09-25,JP Morgan,EMEA,Municipal Bond,GBP,1097702.21,0.63,0.37,FOP,Voice,0,0.68,1,2,0,None,9,0,1.66
IN26E0QO69G8,2025-10-06,2025-10-09,Citibank,APAC,Sovereign Bond,USD,8464265.58,0.66,2.46,DVP,Chat,0,0.28,0,3,0,None,10,1,0.27
INNBLZELHCL7,2025-11-12,2025-11-15,BNP Paribas,AMER,Sovereign Bond,JPY,6326534.18,6.64,2.23,DVP,Chat,0,0.8,1,3,0,None,11,1,2.96
INNDV6VTEN63,2025-10-22,2025-10-25,BNP Paribas,AMER,Agency Bond,JPY,7531086.04,6.15,2.97,DVP,Voice,0,0.41,1,3,0,None,10,1,2.06
US9D7FORNZG7,2025-10-17,2025-10-18,Citibank,EMEA,Municipal Bond,GBP,3473955.05,7.02,2.59,FOP,Voice,1,0.43,1,1,0,None,10,0,2.7
IN06WDR2LQY5,2025-10-25,2025-10-27,Barclays UK,APAC,Corporate Bond,JPY,9035273.78,4.04,2.5,FOP,FIX API,1,0.32,1,2,0,None,10,1,1.61
DENV2ULSBI92,2025-11-03,2025-11-06,Deutsche Bank,APAC,Corporate Bond,EUR,9063281.57,1.14,1.03,FOP,RFQ,1,0.95,0,3,0,None,11,1,1.1
USEMQLNSQTT8,2025-10-30,2025-11-02,Barclays UK,AMER,Agency Bond,GBP,4539610.67,2.55,1.05,FOP,Voice,1,0.67,1,3,0,None,10,0,2.41
USJ6D07N5MK2,2025-09-27,2025-09-28,HSBC,EMEA,Corporate Bond,EUR,1002940.42,3.96,0.27,DVP,Voice,0,0.55,0,1,0,None,9,0,14.14
JP5510PTCBN3,2025-09-15,2025-09-17,Citibank,EMEA,Corporate Bond,JPY,3574058.62,1.32,0.51,FOP,Chat,1,0.76,0,2,0,None,9,0,2.54
FROTNRH8PWY5,2025-10-02,2025-10-05,HSBC,APAC,Sovereign Bond,EUR,7039594.4,1.01,2.48,DVP,RFQ,0,0.71,1,3,0,None,10,1,0.41
GBDJ5SGJ5HJ1,2025-09-30,2025-10-01,Barclays UK,AMER,Corporate Bond,GBP,9867731.83,3.12,1.17,FOP,Voice,3,0.81,0,1,0,None,9,1,2.64
INMPUI09CPP9,2025-09-26,2025-09-29,Deutsche Bank,AMER,Municipal Bond,GBP,7793754.47,4.41,1.33,FOP,RFQ,0,0.91,0,3,0,None,9,1,3.29
GBMHG61MXIE1,2025-11-09,2025-11-12,BNP Paribas,EMEA,Municipal Bond,GBP,212401.08,3.78,0.26,FOP,FIX API,0,0.12,0,3,0,None,11,0,14.0
JPNCM1XR0P52,2025-11-05,2025-11-07,Deutsche Bank,AMER,Corporate Bond,GBP,7485844.3,4.58,2.89,FOP,Voice,0,0.37,0,2,0,None,11,1,1.58
DEVJJPYCK758,2025-10-02,2025-10-05,Barclays UK,EMEA,Municipal Bond,GBP,2313598.8,7.24,0.14,DVP,FIX API,0,0.97,1,3,0,None,10,0,48.27
GB1OQQHC05R9,2025-10-23,2025-10-25,JP Morgan,EMEA,Corporate Bond,EUR,5324240.98,7.45,0.31,FOP,Chat,1,0.55,0,2,0,None,10,1,23.28
JP6AVTBH2TX5,2025-10-07,2025-10-09,Barclays UK,AMER,Corporate Bond,USD,6987912.02,3.68,1.92,DVP,Voice,1,0.58,0,2,0,None,10,1,1.91
JPOQJ10IUK55,2025-11-07,2025-11-10,Barclays UK,AMER,Corporate Bond,EUR,9509073.69,6.73,1.42,FOP,Chat,0,0.62,0,3,0,None,11,1,4.71
JP7W1T82HOI5,2025-10-11,2025-10-14,HSBC,AMER,Municipal Bond,GBP,4690614.21,2.97,1.79,FOP,RFQ,3,0.08,0,3,0,None,10,0,1.65
DE4VZ128VXG3,2025-09-29,2025-10-02,Deutsche Bank,APAC,Agency Bond,JPY,8156570.7,5.29,0.57,DVP,RFQ,2,0.91,1,3,0,None,9,1,9.12
USLSP14DW7B0,2025-09-28,2025-09-30,Deutsche Bank,APAC,Corporate Bond,USD,4240606.06,7.03,2.61,FOP,Chat,0,0.05,1,2,0,None,9,0,2.68
GBOELANEJ164,2025-10-17,2025-10-18,Barclays UK,EMEA,Sovereign Bond,JPY,8124477.97,7.41,0.54,DVP,Voice,0,0.59,1,1,1,Instruction Error,10,1,13.47
GB52SJYKAQF5,2025-09-29,2025-10-01,Deutsche Bank,APAC,Agency Bond,EUR,8436977.34,6.37,1.46,DVP,Voice,0,0.41,0,2,0,None,9,1,4.33
DEU31UJUZ726,2025-10-19,2025-10-21,HSBC,EMEA,Agency Bond,EUR,8660751.52,6.19,3.0,FOP,Voice,0,1.0,1,2,0,None,10,1,2.06
INA98QZDF9J8,2025-11-06,2025-11-09,HSBC,AMER,Sovereign Bond,GBP,9453180.73,6.45,0.82,DVP,FIX API,0,0.45,1,3,1,Instruction Error,11,1,7.77
US0888KO1844,2025-10-07,2025-10-09,Deutsche Bank,EMEA,Municipal Bond,GBP,6101128.88,2.1,2.05,DVP,Voice,0,0.62,0,2,0,None,10,1,1.02
INH7WP2DNP05,2025-09-27,2025-09-29,HSBC,APAC,Corporate Bond,EUR,6748574.64,4.14,2.34,FOP,Chat,1,0.52,0,2,0,None,9,1,1.76
FRPYE5IY7MU9,2025-11-12,2025-11-15,BNP Paribas,APAC,Agency Bond,EUR,8778870.67,3.32,0.49,DVP,RFQ,1,0.03,0,3,0,None,11,1,6.64
USNU0HKVEFC0,2025-10-14,2025-10-15,Barclays UK,EMEA,Municipal Bond,GBP,2208345.2,1.45,0.14,DVP,Chat,0,0.35,0,1,0,None,10,0,9.67
JPFGM8K74YY6,2025-09-19,2025-09-20,Citibank,EMEA,Municipal Bond,GBP,4431001.73,6.83,1.11,FOP,FIX API,1,0.51,1,1,0,None,9,0,6.1
GBZZIYQBOPS5,2025-09-16,2025-09-18,JP Morgan,EMEA,Municipal Bond,JPY,8637400.72,7.15,0.53,DVP,RFQ,0,0.93,1,2,0,None,9,1,13.24
USYE7ZKM7OE7,2025-09-20,2025-09-21,Barclays UK,APAC,Corporate Bond,GBP,4645443.99,7.36,1.53,FOP,FIX API,1,0.33,0,1,0,None,9,0,4.78
FR4IVXB6U8Z6,2025-10-21,2025-10-22,JP Morgan,EMEA,Corporate Bond,JPY,1375909.25,1.4,0.54,DVP,RFQ,1,0.14,1,1,0,None,10,0,2.55
GB3DOP2CSQ96,2025-10-31,2025-11-01,Barclays UK,AMER,Corporate Bond,USD,8978205.26,3.82,2.04,DVP,FIX API,0,0.17,1,1,0,None,10,1,1.86
FRHC8V0EWJY1,2025-10-09,2025-10-12,Citibank,EMEA,Sovereign Bond,EUR,1772457.12,2.45,0.61,DVP,FIX API,0,0.09,0,3,0,None,10,0,3.95
JPGC6L4KROX3,2025-09-17,2025-09-19,HSBC,EMEA,Sovereign Bond,JPY,2142703.81,3.05,1.56,DVP,Voice,0,0.69,1,2,0,None,9,0,1.94
INQ6AA3VL5S8,2025-10-06,2025-10-07,JP Morgan,EMEA,Municipal Bond,USD,6316213.86,1.07,2.63,FOP,FIX API,0,0.92,1,1,0,None,10,1,0.41
FRNC125NX415,2025-11-12,2025-11-14,Deutsche Bank,EMEA,Agency Bond,JPY,8081392.67,5.74,0.64,DVP,Voice,0,0.21,0,2,0,None,11,1,8.83
FRD597R70AH3,2025-10-15,2025-10-16,Barclays UK,EMEA,Municipal Bond,USD,6220722.24,3.08,1.44,DVP,Chat,0,0.75,0,1,0,None,10,1,2.12
GBZ6QS0B6CY5,2025-11-11,2025-11-13,Deutsche Bank,EMEA,Agency Bond,EUR,7162160.9,6.77,1.58,DVP,Voice,0,0.53,1,2,0,None,11,1,4.26
USD4C63GX901,2025-11-04,2025-11-06,HSBC,APAC,Sovereign Bond,GBP,5372910.94,2.2,0.88,FOP,Voice,0,0.38,1,2,0,None,11,1,2.47
FR58CDWI2T57,2025-09-14,2025-09-17,Deutsche Bank,APAC,Corporate Bond,JPY,2193335.27,2.79,0.45,FOP,FIX API,0,0.89,0,3,0,None,9,0,6.07
GB5Q6L9AR4T8,2025-10-27,2025-10-30,HSBC,AMER,Sovereign Bond,USD,7912795.26,3.99,0.35,DVP,Voice,0,0.54,0,3,0,None,10,1,11.08
FRWY1YZJEL15,2025-10-24,2025-10-26,Citibank,EMEA,Corporate Bond,JPY,4373429.51,1.39,0.92,DVP,Chat,1,0.36,1,2,0,None,10,0,1.49
IN4M7JQUNWD4,2025-10-16,2025-10-18,Citibank,EMEA,Corporate Bond,GBP,9866500.96,4.74,0.79,DVP,Chat,0,0.1,1,2,0,None,10,1,5.92
DET4L32VDBB5,2025-09-30,2025-10-03,HSBC,APAC,Sovereign Bond,GBP,1690745.6,1.81,0.93,FOP,RFQ,1,0.17,0,3,0,None,9,0,1.93
DEADAKKWILB5,2025-10-22,2025-10-23,Citibank,APAC,Corporate Bond,JPY,4162928.59,7.38,0.42,DVP,Chat,3,0.4,1,1,0,None,10,0,17.16
USJBBHBHMOR1,2025-09-20,2025-09-22,JP Morgan,EMEA,Sovereign Bond,EUR,6719567.88,7.01,1.71,FOP,Voice,0,0.57,0,2,0,None,9,1,4.08
DEWTUVPYTWD9,2025-10-10,2025-10-11,BNP Paribas,EMEA,Sovereign Bond,USD,1951733.11,2.77,1.33,FOP,Voice,0,0.51,1,1,0,None,10,0,2.07
GBGEJIBS8H52,2025-10-11,2025-10-13,HSBC,AMER,Agency Bond,EUR,6145138.42,2.52,1.79,DVP,Voice,0,0.15,1,2,0,None,10,1,1.4
JPPGR45SM258,2025-11-10,2025-11-12,JP Morgan,AMER,Municipal Bond,USD,613053.01,2.86,0.49,FOP,Chat,1,0.06,1,2,0,None,11,0,5.72
GB1V8VI4MUJ0,2025-11-05,2025-11-07,Citibank,AMER,Municipal Bond,JPY,2620942.48,5.27,2.3,FOP,Chat,0,0.6,1,2,0,None,11,0,2.28
INCEVP7L6L32,2025-09-29,2025-09-30,BNP Paribas,EMEA,Corporate Bond,USD,3553795.84,7.01,2.51,FOP,FIX API,0,0.97,0,1,0,None,9,0,2.78
GB07CA49S7H7,2025-10-14,2025-10-15,HSBC,AMER,Agency Bond,JPY,9389570.52,1.77,0.29,DVP,FIX API,0,0.74,1,1,0,None,10,1,5.9
IN3T84LK6NP2,2025-09-24,2025-09-26,HSBC,AMER,Municipal Bond,GBP,1483746.53,6.07,0.68,FOP,FIX API,0,0.16,0,2,0,None,9,0,8.8
INXKKCT8TFV5,2025-11-07,2025-11-08,Barclays UK,EMEA,Sovereign Bond,USD,6685452.48,4.16,1.14,FOP,Chat,0,0.88,0,1,0,None,11,1,3.62
FRUC1DCKJ2X3,2025-11-05,2025-11-06,BNP Paribas,EMEA,Municipal Bond,JPY,4447435.59,3.14,1.44,FOP,Voice,1,0.3,1,1,0,None,11,0,2.17
IN2KA8E0HNE1,2025-10-01,2025-10-03,Barclays UK,AMER,Municipal Bond,JPY,9005788.28,3.19,1.68,DVP,FIX API,1,0.91,0,2,0,None,10,1,1.89
GBIZI6FBQWI8,2025-10-22,2025-10-25,Deutsche Bank,AMER,Sovereign Bond,JPY,6314309.73,2.84,0.5,FOP,Voice,1,0.79,1,3,0,None,10,1,5.57
JPB6KTTB61L5,2025-10-20,2025-10-21,HSBC,APAC,Sovereign Bond,USD,7907112.39,1.56,1.0,FOP,Chat,1,0.25,1,1,0,None,10,1,1.54
FR0XPMS0BGM0,2025-09-23,2025-09-24,Barclays UK,APAC,Agency Bond,EUR,7648340.99,6.64,1.09,DVP,Voice,0,0.82,1,1,0,None,9,1,6.04
USDI7ACPLXU6,2025-10-29,2025-10-31,HSBC,AMER,Corporate Bond,JPY,1362137.76,3.28,2.41,DVP,FIX API,0,0.15,1,2,0,None,10,0,1.36
USC8Q8TJHAH0,2025-10-16,2025-10-18,Citibank,APAC,Municipal Bond,JPY,7228361.71,4.99,2.11,DVP,FIX API,0,0.54,1,2,0,None,10,1,2.35
JPWB8V3YPWD9,2025-10-30,2025-10-31,HSBC,APAC,Corporate Bond,JPY,1897817.4,6.86,1.79,DVP,Voice,0,0.4,1,1,0,None,10,0,3.81
JPAML2B8M4F0,2025-10-15,2025-10-18,JP Morgan,EMEA,Corporate Bond,JPY,1618178.89,4.6,1.57,DVP,Chat,0,0.61,0,3,0,None,10,0,2.91
GBAE8NG8MTG0,2025-09-14,2025-09-17,HSBC,APAC,Agency Bond,GBP,9327971.0,4.46,2.12,FOP,RFQ,1,0.92,1,3,0,None,9,1,2.09
DE1SUJ7OXDH2,2025-10-03,2025-10-05,JP Morgan,EMEA,Agency Bond,EUR,6106478.96,3.47,2.24,FOP,FIX API,1,0.93,1,2,0,None,10,1,1.54
GBAI5S4V0GF9,2025-09-15,2025-09-18,HSBC,EMEA,Municipal Bond,JPY,9849927.87,6.37,0.46,DVP,FIX API,1,0.92,0,3,0,None,9,1,13.55
USA8A3BD7EB0,2025-11-08,2025-11-11,JP Morgan,AMER,Sovereign Bond,GBP,4050126.77,0.88,1.07,FOP,Voice,0,0.8,1,3,0,None,11,0,0.81
GB6F88AX5HP7,2025-11-05,2025-11-08,JP Morgan,EMEA,Sovereign Bond,JPY,4041870.07,4.26,2.77,DVP,Voice,0,0.35,0,3,0,None,11,0,1.53
US8FJ0U6DKY0,2025-11-02,2025-11-05,BNP Paribas,APAC,Sovereign Bond,JPY,4576957.61,2.07,1.41,DVP,Chat,0,0.14,1,3,0,None,11,0,1.46
JPQXFQDVVXP8,2025-10-02,2025-10-04,Deutsche Bank,APAC,Municipal Bond,GBP,4247361.95,6.9,1.15,DVP,Voice,1,0.58,0,2,0,None,10,0,5.95
GBT0R4LIXS34,2025-09-17,2025-09-19,Deutsche Bank,EMEA,Sovereign Bond,EUR,1862556.07,7.23,0.53,FOP,Chat,0,0.41,0,2,1,Counterparty Mismatch,9,0,13.39
DEUN5TF0ZLM7,2025-11-05,2025-11-08,HSBC,EMEA,Sovereign Bond,EUR,5071730.6,4.67,0.29,FOP,Chat,0,0.75,0,3,0,None,11,1,15.57
USJ2WHSG5AC9,2025-11-09,2025-11-12,HSBC,AMER,Agency Bond,EUR,2130882.44,1.83,0.21,DVP,RFQ,0,0.47,0,3,0,None,11,0,8.32
JP1IKOUMOFJ5,2025-09-19,2025-09-22,HSBC,EMEA,Municipal Bond,EUR,7777723.41,3.67,1.62,DVP,Voice,0,0.44,0,3,0,None,9,1,2.25
DER93NJUUZD3,2025-10-13,2025-10-14,JP Morgan,APAC,Agency Bond,JPY,1636878.43,1.77,2.6,FOP,RFQ,0,0.95,1,1,0,None,10,0,0.68
INB0OE2B6GQ7,2025-09-18,2025-09-19,Deutsche Bank,APAC,Municipal Bond,USD,6475595.48,3.36,0.17,FOP,FIX API,1,0.16,0,1,0,None,9,1,18.67
GBXNR9I01XE8,2025-10-29,2025-10-30,Deutsche Bank,EMEA,Agency Bond,EUR,2297524.4,2.12,2.05,DVP,FIX API,0,0.02,0,1,0,None,10,0,1.03
GB34AKK7F6X3,2025-10-29,2025-11-01,BNP Paribas,AMER,Agency Bond,GBP,1867592.15,5.07,0.79,DVP,RFQ,0,0.1,1,3,0,None,10,0,6.34
GB3TKO7B2D84,2025-09-21,2025-09-23,JP Morgan,APAC,Municipal Bond,JPY,8571395.03,6.31,1.25,FOP,RFQ,0,0.67,1,2,0,None,9,1,5.01
USFSH5LM1SD6,2025-10-12,2025-10-14,Citibank,AMER,Corporate Bond,USD,8973724.6,0.59,0.35,DVP,Chat,0,0.21,0,2,0,None,10,1,1.64
INFVU33CVBS2,2025-10-16,2025-10-17,BNP Paribas,APAC,Sovereign Bond,USD,5872111.45,3.45,2.69,DVP,Voice,0,0.82,0,1,0,None,10,1,1.28
DEVC8070J7M3,2025-09-29,2025-10-02,BNP Paribas,APAC,Sovereign Bond,GBP,3858954.84,4.63,0.88,FOP,RFQ,0,0.62,0,3,0,None,9,0,5.2
JP7MPG8OVOA4,2025-11-05,2025-11-07,Barclays UK,EMEA,Municipal Bond,JPY,4417652.64,2.56,2.85,FOP,FIX API,0,0.76,0,2,0,None,11,0,0.9
FRV40BLW4800,2025-10-09,2025-10-11,HSBC,EMEA,Agency Bond,USD,4925568.86,6.76,2.42,FOP,FIX API,0,0.43,1,2,0,None,10,0,2.78
GB2PFN5XDTT2,2025-09-26,2025-09-28,BNP Paribas,AMER,Corporate Bond,EUR,5462178.73,4.93,0.85,FOP,RFQ,2,0.14,0,2,0,None,9,1,5.73
