isin,trade_date,settlement_date,counterparty,region,instrument_type,currency,notional_value,coupon_rate,yield_spread,settlement_method,trade_channel,previous_settlement_fails,counterparty_risk_score,ssi_valid,time_to_settle_days,settlement_status,fail_reason,trade_month,high_notional_flag,interest_to_yield_ratio
DETB04Q79RW7,2025-10-06,2025-10-07,BNP Paribas,EMEA,Municipal Bond,EUR,8464265.58,0.66,2.46,DVP,FIX API,0,0.28,0,1,0,None,10,1,0.27
USYKCGQI67E1,2025-11-12,2025-11-15,HSBC,AMER,Corporate Bond,GBP,6326534.18,6.64,2.23,DVP,FIX API,0,0.8,1,3,0,None,11,1,2.96
GBCJZ9B3D274,2025-10-22,2025-10-23,JP Morgan,AMER,Municipal Bond,JPY,7531086.04,6.15,2.97,FOP,FIX API,0,0.41,1,1,0,None,10,1,2.06
INEUYEH2PUP3,2025-10-17,2025-10-19,JP Morgan,APAC,Sovereign Bond,GBP,3473955.05,7.02,2.59,FOP,RFQ,1,0.43,1,2,0,None,10,0,2.7
JPV8JBR70WT1,2025-10-25,2025-10-27,BNP Paribas,APAC,Municipal Bond,GBP,9035273.78,4.04,2.5,FOP,Voice,1,0.32,0,2,0,None,10,1,1.61
INNTSOYT4291,2025-11-03,2025-11-06,Barclays UK,EMEA,Sovereign Bond,USD,9063281.57,1.14,1.03,DVP,FIX API,1,0.95,1,3,0,None,11,1,1.1
GBLXODQYGGI2,2025-10-30,2025-11-01,Citibank,EMEA,Municipal Bond,GBP,4539610.67,2.55,1.05,DVP,Voice,1,0.67,1,2,0,None,10,0,2.41
FRGWVZ56UKZ9,2025-09-27,2025-09-30,Deutsche Bank,APAC,Municipal Bond,GBP,1002940.42,3.96,0.27,FOP,RFQ,0,0.55,0,3,0,None,9,0,14.14
FRESOZARY9W6,2025-09-15,2025-09-18,HSBC,EMEA,Municipal Bond,GBP,3574058.62,1.32,0.51,FOP,RFQ,1,0.76,0,3,0,None,9,0,2.54
UST0Y63E6AJ6,2025-10-02,2025-10-05,Barclays UK,APAC,Municipal Bond,USD,7039594.4,1.01,2.48,FOP,RFQ,0,0.71,1,3,0,None,10,1,0.41
INY50IXX6ZH6,2025-09-30,2025-10-03,Barclays UK,EMEA,Sovereign Bond,GBP,9867731.83,3.12,1.17,DVP,Chat,3,0.81,1,3,0,None,9,1,2.64
GB9M4XWWGVT5,2025-09-26,2025-09-29,HSBC,EMEA,Municipal Bond,EUR,7793754.47,4.41,1.33,FOP,Voice,0,0.91,1,3,0,None,9,1,3.29
INT10J8ECFX9,2025-11-09,2025-11-11,Deutsche Bank,APAC,Municipal Bond,GBP,212401.08,3.78,0.26,FOP,Chat,0,0.12,0,2,0,None,11,0,14.0
DEPQ72LVYQF9,2025-11-05,2025-11-08,JP Morgan,APAC,Agency Bond,USD,7485844.3,4.58,2.89,FOP,FIX API,0,0.37,1,3,0,None,11,1,1.58
FR5BG7ITVMH9,2025-10-02,2025-10-05,BNP Paribas,EMEA,Sovereign Bond,JPY,2313598.8,7.24,0.14,FOP,Voice,0,0.97,1,3,0,None,10,0,48.27
FR49P79Q2UL8,2025-10-23,2025-10-24,HSBC,EMEA,Agency Bond,JPY,5324240.98,7.45,0.31,DVP,Chat,1,0.55,1,1,0,None,10,1,23.28
DE2JX57HBHS5,2025-10-07,2025-10-08,BNP Paribas,AMER,Agency Bond,GBP,6987912.02,3.68,1.92,DVP,RFQ,1,0.58,0,1,0,None,10,1,1.91
DEWLS9TKJAQ4,2025-11-07,2025-11-10,Barclays UK,EMEA,Sovereign Bond,USD,9509073.69,6.73,1.42,DVP,Chat,0,0.62,1,3,0,None,11,1,4.71
DESKYP7Y0DI7,2025-10-11,2025-10-12,Citibank,APAC,Municipal Bond,USD,4690614.21,2.97,1.79,FOP,FIX API,3,0.08,1,1,0,None,10,0,1.65
DEB3KA0GVBH5,2025-09-29,2025-10-02,BNP Paribas,AMER,Sovereign Bond,JPY,8156570.7,5.29,0.57,DVP,Voice,2,0.91,0,3,0,None,9,1,9.12
FR1VZZX9OLQ8,2025-09-28,2025-10-01,HSBC,EMEA,Agency Bond,USD,4240606.06,7.03,2.61,FOP,Voice,0,0.05,0,3,0,None,9,0,2.68
IN366JYJ6DP0,2025-10-17,2025-10-18,BNP Paribas,EMEA,Agency Bond,EUR,8124477.97,7.41,0.54,FOP,Voice,0,0.59,1,1,1,Late SSI,10,1,13.47
INDCW10LFJU5,2025-09-29,2025-09-30,Citibank,EMEA,Agency Bond,JPY,8436977.34,6.37,1.46,DVP,RFQ,0,0.41,1,1,0,None,9,1,4.33
USNH7NZJFL78,2025-10-19,2025-10-22,Barclays UK,AMER,Corporate Bond,JPY,8660751.52,6.19,3.0,FOP,Voice,0,1.0,1,3,0,None,10,1,2.06
USRK3FMTVYG3,2025-11-06,2025-11-08,JP Morgan,EMEA,Agency Bond,GBP,9453180.73,6.45,0.82,FOP,RFQ,0,0.45,0,2,1,Missing Cash,11,1,7.77
JP2S11OWO6T9,2025-10-07,2025-10-08,HSBC,EMEA,Municipal Bond,JPY,6101128.88,2.1,2.05,FOP,RFQ,0,0.62,0,1,0,None,10,1,1.02
FRMEVJTBCGB5,2025-09-27,2025-09-29,Citibank,AMER,Corporate Bond,JPY,6748574.64,4.14,2.34,FOP,RFQ,1,0.52,0,2,0,None,9,1,1.76
GBAMRBP8O6L2,2025-11-12,2025-11-14,HSBC,EMEA,Sovereign Bond,USD,8778870.67,3.32,0.49,DVP,Voice,1,0.03,1,2,0,None,11,1,6.64
US14MWHJ0M74,2025-10-14,2025-10-16,BNP Paribas,APAC,Municipal Bond,GBP,2208345.2,1.45,0.14,FOP,FIX API,0,0.35,1,2,0,None,10,0,9.67
DEXHL7YNSMY8,2025-09-19,2025-09-20,HSBC,EMEA,Sovereign Bond,EUR,4431001.73,6.83,1.11,DVP,Voice,1,0.51,0,1,0,None,9,0,6.1
FR40V3ULLRW5,2025-09-16,2025-09-17,Citibank,EMEA,Corporate Bond,GBP,8637400.72,7.15,0.53,FOP,Voice,0,0.93,0,1,0,None,9,1,13.24
FRN55MWAPX95,2025-09-20,2025-09-21,HSBC,AMER,Municipal Bond,EUR,4645443.99,7.36,1.53,FOP,Voice,1,0.33,1,1,0,None,9,0,4.78
FRZXUXE2AO59,2025-10-21,2025-10-22,BNP Paribas,APAC,Agency Bond,USD,1375909.25,1.4,0.54,FOP,RFQ,1,0.14,0,1,0,None,10,0,2.55
JPP8IW3PFU15,2025-10-31,2025-11-02,HSBC,APAC,Corporate Bond,EUR,8978205.26,3.82,2.04,FOP,Voice,0,0.17,0,2,0,None,10,1,1.86
DE1J5K6A2KC0,2025-10-09,2025-10-12,HSBC,APAC,Agency Bond,GBP,1772457.12,2.45,0.61,DVP,Chat,0,0.09,1,3,0,None,10,0,3.95
JPKN2AB1CBP8,2025-09-17,2025-09-19,Citibank,AMER,Agency Bond,GBP,2142703.81,3.05,1.56,FOP,FIX API,0,0.69,1,2,0,None,9,0,1.94
IN2KIT0FD9K1,2025-10-06,2025-10-09,JP Morgan,APAC,Corporate Bond,JPY,6316213.86,1.07,2.63,DVP,FIX API,0,0.92,1,3,0,None,10,1,0.41
DEGERID9BN17,2025-11-12,2025-11-13,BNP Paribas,AMER,Agency Bond,USD,8081392.67,5.74,0.64,DVP,FIX API,0,0.21,1,1,0,None,11,1,8.83
USYYHK99HOH9,2025-10-15,2025-10-17,Citibank,AMER,Agency Bond,USD,6220722.24,3.08,1.44,FOP,Chat,0,0.75,0,2,0,None,10,1,2.12
GB4RRRN7ZFD6,2025-11-11,2025-11-12,Citibank,EMEA,Agency Bond,GBP,7162160.9,6.77,1.58,FOP,Voice,0,0.53,0,1,0,None,11,1,4.26
GBC4NZQDH8Y7,2025-11-04,2025-11-07,Deutsche Bank,EMEA,Corporate Bond,GBP,5372910.94,2.2,0.88,FOP,Chat,0,0.38,1,3,0,None,11,1,2.47
USK2MID50755,2025-09-14,2025-09-17,JP Morgan,AMER,Sovereign Bond,JPY,2193335.27,2.79,0.45,FOP,Chat,0,0.89,1,3,0,None,9,0,6.07
INYHD2RZH3A1,2025-10-27,2025-10-29,JP Morgan,APAC,Corporate Bond,GBP,7912795.26,3.99,0.35,DVP,Chat,0,0.54,1,2,0,None,10,1,11.08
INKN51UAGHY1,2025-10-24,2025-10-27,JP Morgan,EMEA,Municipal Bond,EUR,4373429.51,1.39,0.92,FOP,Voice,1,0.36,1,3,0,None,10,0,1.49
INUFFJ403HT6,2025-10-16,2025-10-18,JP Morgan,AMER,Agency Bond,JPY,9866500.96,4.74,0.79,DVP,FIX API,0,0.1,1,2,0,None,10,1,5.92
GBA0E5X3ZVP2,2025-09-30,2025-10-02,HSBC,EMEA,Municipal Bond,JPY,1690745.6,1.81,0.93,DVP,Chat,1,0.17,0,2,0,None,9,0,1.93
GBK72290JVH5,2025-10-22,2025-10-24,HSBC,EMEA,Municipal Bond,JPY,4162928.59,7.38,0.42,DVP,Voice,3,0.4,0,2,0,None,10,0,17.16
USWUCR8GVZK0,2025-09-20,2025-09-22,Citibank,AMER,Municipal Bond,EUR,6719567.88,7.01,1.71,FOP,FIX API,0,0.57,0,2,0,None,9,1,4.08
DEGK29FYW6E4,2025-10-10,2025-10-13,JP Morgan,APAC,Municipal Bond,EUR,1951733.11,2.77,1.33,DVP,RFQ,0,0.51,1,3,0,None,10,0,2.07
GBRQR6TEDI48,2025-10-11,2025-10-13,Barclays UK,EMEA,Corporate Bond,EUR,6145138.42,2.52,1.79,DVP,Voice,0,0.15,0,2,0,None,10,1,1.4
FRV1ILX24IV8,2025-11-10,2025-11-12,HSBC,EMEA,Corporate Bond,USD,613053.01,2.86,0.49,FOP,RFQ,1,0.06,0,2,0,None,11,0,5.72
DE7T8F7JIH58,2025-11-05,2025-11-08,HSBC,APAC,Agency Bond,GBP,2620942.48,5.27,2.3,FOP,FIX API,0,0.6,1,3,0,None,11,0,2.28
GB9P3RXQP7D3,2025-09-29,2025-09-30,HSBC,EMEA,Agency Bond,JPY,3553795.84,7.01,2.51,DVP,Voice,0,0.97,0,1,0,None,9,0,2.78
GBAHI1YDMBY1,2025-10-14,2025-10-17,Barclays UK,APAC,Municipal Bond,JPY,9389570.52,1.77,0.29,FOP,RFQ,0,0.74,1,3,0,None,10,1,5.9
USVDDI86XGT9,2025-09-24,2025-09-27,HSBC,AMER,Corporate Bond,USD,1483746.53,6.07,0.68,DVP,RFQ,0,0.16,1,3,0,None,9,0,8.8
FR6KUOSYTL30,2025-11-07,2025-11-08,BNP Paribas,EMEA,Municipal Bond,GBP,6685452.48,4.16,1.14,FOP,Voice,0,0.88,1,1,0,None,11,1,3.62
DE1R40PQE7R3,2025-11-05,2025-11-07,Citibank,APAC,Municipal Bond,GBP,4447435.59,3.14,1.44,FOP,FIX API,1,0.3,0,2,0,None,11,0,2.17
US32BHUF14U0,2025-10-01,2025-10-04,Barclays UK,AMER,Sovereign Bond,USD,9005788.28,3.19,1.68,DVP,Voice,1,0.91,0,3,0,None,10,1,1.89
GB371BKEW2H1,2025-10-22,2025-10-24,Citibank,EMEA,Sovereign Bond,JPY,6314309.73,2.84,0.5,FOP,FIX API,1,0.79,0,2,0,None,10,1,5.57
INZOMOJ9I1N3,2025-10-20,2025-10-22,JP Morgan,AMER,Municipal Bond,EUR,7907112.39,1.56,1.0,FOP,Chat,1,0.25,1,2,0,None,10,1,1.54
DEJG6X7Z4HK5,2025-09-23,2025-09-26,JP Morgan,APAC,Sovereign Bond,GBP,7648340.99,6.64,1.09,FOP,Chat,0,0.82,0,3,0,None,9,1,6.04
IN4XIJLHVLM6,2025-10-29,2025-10-30,BNP Paribas,APAC,Corporate Bond,USD,1362137.76,3.28,2.41,FOP,Voice,0,0.15,1,1,0,None,10,0,1.36
INA7ZXFKF4C1,2025-10-16,2025-10-17,JP Morgan,APAC,Sovereign Bond,JPY,7228361.71,4.99,2.11,DVP,FIX API,0,0.54,1,1,0,None,10,1,2.35
JP13EQKLONB2,2025-10-30,2025-10-31,JP Morgan,EMEA,Municipal Bond,USD,1897817.4,6.86,1.79,FOP,Chat,0,0.4,0,1,0,None,10,0,3.81
GBIP30PQTR36,2025-10-15,2025-10-18,Deutsche Bank,APAC,Agency Bond,GBP,1618178.89,4.6,1.57,DVP,RFQ,0,0.61,1,3,0,None,10,0,2.91
IN7DO8AFKP69,2025-09-14,2025-09-17,BNP Paribas,APAC,Corporate Bond,USD,9327971.0,4.46,2.12,DVP,RFQ,1,0.92,1,3,0,None,9,1,2.09
GBI5K226Y1L6,2025-10-03,2025-10-05,Deutsche Bank,APAC,Municipal Bond,GBP,6106478.96,3.47,2.24,DVP,Chat,1,0.93,0,2,0,None,10,1,1.54
GBTEI9ABTSN4,2025-09-15,2025-09-17,Citibank,EMEA,Agency Bond,JPY,9849927.87,6.37,0.46,DVP,FIX API,1,0.92,0,2,0,None,9,1,13.55
GB4W2R4UEJ33,2025-11-08,2025-11-10,JP Morgan,EMEA,Agency Bond,GBP,4050126.77,0.88,1.07,DVP,FIX API,0,0.8,1,2,0,None,11,0,0.81
GBGYWWYU5DR4,2025-11-05,2025-11-07,JP Morgan,EMEA,Agency Bond,JPY,4041870.07,4.26,2.77,FOP,FIX API,0,0.35,1,2,0,None,11,0,1.53
DEXNMWDO53C5,2025-11-02,2025-11-03,Citibank,AMER,Municipal Bond,GBP,4576957.61,2.07,1.41,DVP,FIX API,0,0.14,0,1,0,None,11,0,1.46
USMELR5IBF14,2025-10-02,2025-10-03,JP Morgan,APAC,Corporate Bond,EUR,4247361.95,6.9,1.15,FOP,Voice,1,0.58,0,1,0,None,10,0,5.95
IN735T1WA4X4,2025-09-17,2025-09-20,BNP Paribas,EMEA,Agency Bond,JPY,1862556.07,7.23,0.53,DVP,FIX API,0,0.41,1,3,1,Instruction Error,9,0,13.39
FRTB8S6PFU36,2025-11-05,2025-11-07,Deutsche Bank,EMEA,Agency Bond,JPY,5071730.6,4.67,0.29,DVP,Chat,0,0.75,1,2,0,None,11,1,15.57
ING99TNB5J58,2025-11-09,2025-11-11,Deutsche Bank,APAC,Agency Bond,USD,2130882.44,1.83,0.21,DVP,FIX API,0,0.47,0,2,0,None,11,0,8.32
GBV5BMINAMA9,2025-09-19,2025-09-21,Citibank,AMER,Agency Bond,JPY,7777723.41,3.67,1.62,DVP,FIX API,0,0.44,0,2,0,None,9,1,2.25
INXX8J3ROGF4,2025-10-13,2025-10-16,JP Morgan,AMER,Corporate Bond,USD,1636878.43,1.77,2.6,FOP,Chat,0,0.95,0,3,0,None,10,0,0.68
JPSDTFSB8LH4,2025-09-18,2025-09-19,JP Morgan,APAC,Municipal Bond,GBP,6475595.48,3.36,0.17,FOP,FIX API,1,0.16,1,1,0,None,9,1,18.67
JPHQJ9ROZHT5,2025-10-29,2025-11-01,BNP Paribas,APAC,Corporate Bond,GBP,2297524.4,2.12,2.05,DVP,RFQ,0,0.02,0,3,0,None,10,0,1.03
GBBN3S1TLMV9,2025-10-29,2025-10-30,HSBC,AMER,Municipal Bond,JPY,1867592.15,5.07,0.79,FOP,Chat,0,0.1,1,1,0,None,10,0,6.34
JPQUUALA2NM1,2025-09-21,2025-09-23,JP Morgan,AMER,Municipal Bond,USD,8571395.03,6.31,1.25,DVP,FIX API,0,0.67,1,2,0,None,9,1,5.01
GBKD3YKSC1R2,2025-10-12,2025-10-15,Citibank,APAC,Corporate Bond,GBP,8973724.6,0.59,0.35,DVP,Voice,0,0.21,0,3,0,None,10,1,1.64
INFLQD5UI1H4,2025-10-16,2025-10-17,JP Morgan,AMER,Municipal Bond,JPY,5872111.45,3.45,2.69,FOP,FIX API,0,0.82,1,1,0,None,10,1,1.28
GBE1F6OW5Z63,2025-09-29,2025-10-02,Barclays UK,APAC,Municipal Bond,USD,3858954.84,4.63,0.88,DVP,RFQ,0,0.62,1,3,0,None,9,0,5.2
FRHM4DHF45L7,2025-11-05,2025-11-06,HSBC,APAC,Municipal Bond,USD,4417652.64,2.56,2.85,DVP,FIX API,0,0.76,0,1,0,None,11,0,0.9
JP4WPRFIBW12,2025-10-09,2025-10-12,JP Morgan,APAC,Sovereign Bond,USD,4925568.86,6.76,2.42,FOP,FIX API,0,0.43,0,3,0,None,10,0,2.78
IN9AFNG1VXV4,2025-09-26,2025-09-29,BNP Paribas,APAC,Municipal Bond,GBP,5462178.73,4.93,0.85,DVP,FIX API,2,0.14,0,3,0,None,9,1,5.73
